,parameter1,parameter2,parameter3,parameter4,frequency,Z,B
209,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.8,1.1772744104259032,0.07411375183648766
210,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.88,1.1987372314345222,0.0886569805248736
211,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,0.96,1.2163160131883217,0.10371755182004276
212,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.04,1.229006551631551,0.11890775271030846
213,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.12,1.2361407483865947,0.13382410972902825
214,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.2,1.2374542150295271,0.14808479602915817
215,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.28,1.233089182629984,0.16136407702431788
216,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.36,1.2235338916591145,0.17341635991608562
217,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.44,1.2095183603629163,0.18408601677887393
218,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.52,1.1918955777514326,0.1933036176235392
219,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.6,1.1715345027959219,0.2010724952509089
220,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.68,1.1492409159977488,0.20745069629291385
221,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.76,1.125710527289489,0.21253266431026177
222,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.84,1.1015103074105828,0.21643341101515484
223,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,1.92,1.0770800961107831,0.21927634045021036
224,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.0,1.0527462161200494,0.22118475779761226
225,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.08,1.0287404303252479,0.22227649409600986
226,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.16,1.0052197446676603,0.22266088370413373
227,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.24,0.9822844949759566,0.22243737216705012
228,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.32,0.9599935717083343,0.2216951726785467
229,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.4,0.9383765298320074,0.2205135475518323
230,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.48,0.9174428168307444,0.21896242832387555
231,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.56,0.8971885640942793,0.21710319242809034
232,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.64,0.8776014366219358,0.21498948720496905
233,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.72,0.8586640009521533,0.2126680397614822
234,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.8,0.8403560003541383,0.21017942087866825
235,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.88,0.8226558472679278,0.2075587487497798
236,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,2.96,0.8055415696597604,0.20483632822847558
237,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.04,0.7889913860632927,0.20203822650923053
238,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.12,0.7729840348101692,0.19918678871047524
239,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.2,0.757498945334641,0.19630109789164846
240,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.28,0.7425163116188367,0.1933973843186027
241,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.36,0.7280171078163674,0.19048938869679888
242,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.44,0.7139830720106246,0.18758868383187163
243,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.52,0.7003966743868109,0.18470495885944965
244,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.6,0.6872410795988675,0.18184626986003247
245,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.68,0.674500108858878,0.179019260360246
246,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.76,0.6621582045741472,0.17622935492514777
247,80231.3471857946,43819.0372347622,8488.16818926695,6628.27839532633,3.84,0.6502003987040533,0.17348092876784396
